,angle
881,166.29447461230728
882,68.01682161156064
883,160.8511646623392
884,147.24800302102636
885,166.63421312730594
886,95.12790273876402
887,149.13824567533499
888,160.93935004888496
889,168.12015006933996
890,71.77125746032826
891,86.06720898824757
892,152.5089549731852
893,128.07622067926755
894,174.3943217581491
895,137.53996570481425
896,
897,174.5193290532372
898,
899,171.76680019485107
900,121.47385643742021
901,137.03969672543207
902,125.9852511520313
903,177.2376058604154
904,177.2524343718139
905,174.85253465580212
906,105.95544122620979
907,86.35231045870428
908,114.14800680433069
909,148.29035809814664
910,124.52103302825812
911,178.43828936359563
912,176.7796051134631
913,173.30925517723932
914,106.60012877085725
915,102.3277848090279
916,82.480195718515
917,108.85869723658516
918,96.50721301637616
919,178.62622515582422
920,128.65642209216824
921,145.3483363516842
922,36.639397598477515
923,90.38547633894355
924,157.69693092098902
925,134.09331105611002
926,170.68319825790374
927,149.05438462252016
928,172.81736340827237
929,171.89422626963884
930,97.32632376782047
931,98.35005219630526
932,111.338926508767
933,147.91380157590106
934,127.68747194766534
935,173.98235368483085
936,172.62417624614028
937,160.44115921949538
938,100.34505336695241
939,89.72825888885473
940,86.95819837396249
941,139.84262317760465
942,94.12377626866059
943,173.04602770885856
944,167.67481019674526
945,164.0290945736335
946,84.37442409441668
947,99.52375113978206
948,128.48009013569774
949,93.13013885226496
950,175.48474620257244
951,98.35949168517146
952,175.81910118496765
953,176.94325648363238
954,92.89396807519691
955,93.23365099865278
956,103.84326014301158
957,125.72655545164261
958,106.38444901848712
959,177.12811841888828
960,170.11037601440523
961,153.0730966637172
962,143.28331093904617
963,131.90011540879223
964,111.44835356929798
965,174.8515866561288
966,178.82829221834092
967,127.67201923472058
968,169.97333813776456
969,155.72098355417205
970,168.7264904857195
971,172.07704063109782
972,119.25434164820203
973,109.06644333468685
974,77.39810205428545
975,84.95499822579455
976,172.12922743978015
977,
978,178.6827806793165
979,
980,126.20889559428099
981,131.110904698253
982,121.81520465604916
983,166.7269671665745
984,174.13751309640608
985,166.30912305172924
986,94.02661099203948
987,97.64009945194661
988,154.22609033676073
989,119.60033710548407
990,168.57193531315892
991,124.62326607509632
992,179.61669801011067
993,
994,158.83206601089242
995,
996,141.39768126280052
997,126.50378668540824
998,178.84150611095873
999,116.48707493573716
1000,
1001,175.8511184019649
1002,
1003,62.11392534381443
1004,
1005,82.1758999319467
1006,
1007,177.95250443784772
1008,171.255573614782
1009,
1010,165.6114633402208
1011,
1012,148.96301322345045
1013,132.5893107316549
1014,171.48356141038525
1015,128.85279700232974
1016,160.6674227755979
1017,173.6445460452493
1018,173.7243885879711
1019,18.819712399270188
